,County Code,District Code,School Code,StudentGrowth,Expectations,LowGrowth,TypicalGrowth,HighGrowth
450,1,5350,40,Math,Approached,9,10,18
451,1,5350,40,Math,Met,9,12,18
452,1,5350,40,Math,Exceeded,1,1,3
453,1,5350,45,ELA,Did Not Yet Meet,3,3,5
454,1,5350,45,ELA,Partially Met,3,8,3
455,1,5350,45,ELA,Approached,10,10,2
456,1,5350,45,ELA,Met,29,15,5
457,1,5350,45,ELA,Exceeded,5,0,0
458,1,5350,45,Math,Did Not Yet Meet,0,3,5
459,1,5350,45,Math,Partially Met,5,2,8
460,1,5350,45,Math,Approached,8,8,8
461,1,5350,45,Math,Met,21,11,5
462,1,5350,45,Math,Exceeded,6,8,2
463,1,5760,20,ELA,Did Not Yet Meet,6,5,3
464,1,5760,20,ELA,Partially Met,11,3,8
465,1,5760,20,ELA,Approached,8,16,8
466,1,5760,20,ELA,Met,11,5,14
467,1,5760,20,ELA,Exceeded,2,0,0
468,1,5760,20,Math,Did Not Yet Meet,2,2,6
469,1,5760,20,Math,Partially Met,7,15,9
470,1,5760,20,Math,Approached,6,7,17
471,1,5760,20,Math,Met,7,2,19
472,1,5760,20,Math,Exceeded,0,0,2
473,3,40,10,ELA,Did Not Yet Meet,0,0,1
474,3,40,10,ELA,Partially Met,1,2,0
475,3,40,10,ELA,Approached,4,5,7
476,3,40,10,ELA,Met,15,14,20
477,3,40,10,ELA,Exceeded,11,10,11
478,3,40,10,Math,Did Not Yet Meet,0,0,0
479,3,40,10,Math,Partially Met,0,0,3
480,3,40,10,Math,Approached,6,8,5
481,3,40,10,Math,Met,16,21,26
482,3,40,10,Math,Exceeded,4,3,8
483,3,80,10,ELA,Partially Met,1,0,1
484,3,80,10,ELA,Approached,4,0,8
485,3,80,10,ELA,Met,13,12,21
486,3,80,10,ELA,Exceeded,14,9,16
487,3,80,10,Math,Partially Met,0,2,5
488,3,80,10,Math,Approached,8,9,8
489,3,80,10,Math,Met,19,9,16
490,3,80,10,Math,Exceeded,5,8,13
491,3,300,40,ELA,Did Not Yet Meet,2,0,3
492,3,300,40,ELA,Partially Met,3,3,4
493,3,300,40,ELA,Approached,4,10,19
494,3,300,40,ELA,Met,11,14,24
495,3,300,40,ELA,Exceeded,1,0,1
496,3,300,40,Math,Did Not Yet Meet,1,0,2
497,3,300,40,Math,Partially Met,2,2,8
498,3,300,40,Math,Approached,15,10,9
499,3,300,40,Math,Met,13,20,8
500,3,300,40,Math,Exceeded,1,1,6
501,3,300,50,ELA,Did Not Yet Meet,0,4,2
502,3,300,50,ELA,Partially Met,2,2,4
503,3,300,50,ELA,Approached,11,2,15
504,3,300,50,ELA,Met,17,15,15
505,3,300,50,ELA,Exceeded,6,4,4
506,3,300,50,Math,Did Not Yet Meet,0,0,4
507,3,300,50,Math,Partially Met,6,4,4
508,3,300,50,Math,Approached,6,13,4
509,3,300,50,Math,Met,26,15,13
510,3,300,50,Math,Exceeded,4,2,0
511,3,300,60,ELA,Did Not Yet Meet,0,1,0
512,3,300,60,ELA,Partially Met,0,3,11
513,3,300,60,ELA,Approached,5,9,18
514,3,300,60,ELA,Met,8,13,28
515,3,300,60,ELA,Exceeded,1,0,4
516,3,300,60,Math,Did Not Yet Meet,0,1,1
517,3,300,60,Math,Partially Met,1,5,23
518,3,300,60,Math,Approached,4,11,23
519,3,300,60,Math,Met,6,4,21
520,3,300,70,ELA,Did Not Yet Meet,3,3,0
521,3,300,70,ELA,Partially Met,0,6,5
522,3,300,70,ELA,Approached,9,3,6
523,3,300,70,ELA,Met,17,15,20
524,3,300,70,ELA,Exceeded,3,1,7
525,3,300,70,Math,Did Not Yet Meet,6,0,1
526,3,300,70,Math,Partially Met,1,3,7
527,3,300,70,Math,Approached,3,3,19
528,3,300,70,Math,Met,14,14,20
529,3,300,70,Math,Exceeded,2,6,0
530,3,300,75,ELA,Did Not Yet Meet,1,2,3
531,3,300,75,ELA,Partially Met,4,4,5
532,3,300,75,ELA,Approached,8,11,10
533,3,300,75,ELA,Met,12,15,16
534,3,300,75,ELA,Exceeded,2,3,5
535,3,300,75,Math,Did Not Yet Meet,1,1,1
536,3,300,75,Math,Partially Met,11,9,7
537,3,300,75,Math,Approached,11,11,12
538,3,300,75,Math,Met,9,13,13
539,3,300,80,ELA,Did Not Yet Meet,0,2,0
540,3,300,80,ELA,Partially Met,6,7,2
541,3,300,80,ELA,Approached,7,8,12
542,3,300,80,ELA,Met,15,14,12
543,3,300,80,ELA,Exceeded,5,2,5
